`name`,`ispublic`,`description`,`officialreleaseddate`,`durationsecond`,`isplayable`,`thumbnailurl`,`refcode`,`tagsjson`,`artistrefcodes`
`Miền Không Tên`,`true`,,`2017-08-08`,`234`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/1566f5b4494c2e024b9a4a3034112b73/1566f5b4494c2e024b9a4a3034112b73.jpg`,`spt_0qhoXNNeVU6qSnKYj5vluc`,`["Miền Không Tên"]`,`["spt_7hLz2ZikFy4ZwDZS12Z77n"]`
`Bài Này Chill Phết - dongvui harmony`,`true`,,`2022-11-09`,`268`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/2f1e00233b24f9eef5c3c8ca8439b6b9/2f1e00233b24f9eef5c3c8ca8439b6b9.jpg`,`spt_5vVztt8tKQx7wFwSHjwecg`,`["Bài Này Chill Phết - dongvui harmony"]`,`["spt_1LEtM3AleYg1xabW6CRkpi"]`
`Chốt Luôn Tôi Ở Nhà`,`true`,,`2020-04-16`,`237`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/a2c434b649775f1462712649b9d495a5/a2c434b649775f1462712649b9d495a5.jpg`,`spt_7A6TPwcsVDbsulmI9QGAph`,`["Chốt Luôn Tôi Ở Nhà"]`,`["spt_6mKDR6IdsyqRp38x1uigAR", "spt_5GBXwBVQufRCmwI1bNRIUo", "spt_2Bwp23pD4UVsSkchHDZw4F"]`
`Let Victory Make History (feat. Gducky)`,`true`,,`2020-12-17`,`236`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/3e20b4a351a12c035e2d19194fdc986a/3e20b4a351a12c035e2d19194fdc986a.jpg`,`spt_00K11OgSey6i2pGD1yELzj`,`["Let Victory Make History (feat. Gducky)"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw", "spt_3T3DOlgOEkr243zdzFCrXW"]`
`Níu Đôi Tay Anh Đi`,`true`,,`2023-01-12`,`195`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/04d9c973ee5fa2a9f51c4d2292590434/04d9c973ee5fa2a9f51c4d2292590434.jpg`,`spt_05Pxaf28th9WTzaRlVUdDN`,`["Níu Đôi Tay Anh Đi"]`,`["spt_6S0JgJU2l6ds1EhZUJMQFk"]`
`Trơn - Remix`,`true`,,`2021-07-24`,`325`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/66b4d78e15dff2e220586aeaac65f0f8/66b4d78e15dff2e220586aeaac65f0f8.jpg`,`spt_096micLQeXKoOcmb8kFpdv`,`["Trơn - Remix"]`,`["spt_3oB1lv9FWDKbNOUvdTw75Q", "spt_5C6c8Z2dUdCAD4cqEJUZpg"]`
`Thua Cuộc (Intro)`,`true`,,`2020-04-17`,`153`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/676f00de5a9e9f483e6d521d95b0a361/676f00de5a9e9f483e6d521d95b0a361.jpg`,`spt_09AWW687QMdm799EMGhQBP`,`["Thua Cuộc (Intro)"]`,`["spt_1WvNgEoB66jmHodcj15Zi9"]`
`Biển Xanh Sâu Thẳm`,`true`,,`2023-12-21`,`260`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/0812fd9714f602376da04f571510808d/0812fd9714f602376da04f571510808d.jpg`,`spt_0CDr4vl3o2TGlsRCwAtxPk`,`["Biển Xanh Sâu Thẳm"]`,`["spt_2nSO7JYDbJrYbJmP39qUzj", "spt_6S0JgJU2l6ds1EhZUJMQFk"]`
`Ngôi Sao Lẻ Loi (Original Version)`,`true`,,`2012-09-18`,`264`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/99d1c494659a1eb417121b343227ae60/99d1c494659a1eb417121b343227ae60.jpg`,`spt_0CKUXbPbvanivYcq3xRCvV`,`["Ngôi Sao Lẻ Loi (Original Version)"]`,`["spt_6S0JgJU2l6ds1EhZUJMQFk"]`
`TOKYO Cypher`,`true`,,`2023-10-12`,`178`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/438eaf288a10c83be7941275f5370511/438eaf288a10c83be7941275f5370511.jpg`,`spt_0eKIEiMHZv0pOxz4iGOXda`,`["TOKYO Cypher"]`,`["spt_3Wj34lTDJnPp70u4YCl4jz", "spt_4jIoCS5bJr2TQ2SIbSPnwR", "spt_5U1dINFKjJlYNOSdMrHlRh"]`
`Chúc Tán Danh Giê-Hô-Va (Sa Anh)`,`true`,,`2022-07-27`,`237`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/9aaa2dce72accc13b3da3e5873c66781/9aaa2dce72accc13b3da3e5873c66781.jpg`,`spt_0eT18QPOWLA8RTKYDyXow9`,`["Chúc Tán Danh Giê-Hô-Va (Sa Anh)"]`,`["spt_0giWb1I7MxDo6t6Ayjv23m", "spt_1pCsUb2CRRq4gLBJLtyiQu"]`
`Chỉ Cần Là Mình Cùng Nhau (Here We Go)`,`true`,,`2017-07-07`,`261`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4e1fe7c1a0fb287e66942866c0146469/4e1fe7c1a0fb287e66942866c0146469.jpg`,`spt_0Jk62ZYAwt5i7RPWPmuxXj`,`["Chỉ Cần Là Mình Cùng Nhau (Here We Go)"]`,`["spt_2CLdtsyD2NsTOBBOVr7fi8", "spt_3E6LGptA8lBEXPHAQCE3vr", "spt_4x1fUORHa2EsxrQ6ZzAoQ0"]`
`Tháng Năm - Kodeine & Chariot Radio Mix`,`true`,,`2022-08-19`,`309`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4191d729c736199086b2f5e0181f7e7c/4191d729c736199086b2f5e0181f7e7c.jpg`,`spt_0RJVyBZKJz3AllMTfyvAGh`,`["Tháng Năm - Kodeine & Chariot Radio Mix"]`,`["spt_3DzgPvCdq81HsM0c3soQIT", "spt_26kockH5T01I7qLCFY2N24", "spt_6CGGvCBHWqQ4HXtn5aLhbh"]`
`Y6U`,`true`,,`2022-09-15`,`232`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/55d43159d6db9e0bda381fa2b4a35750/55d43159d6db9e0bda381fa2b4a35750.jpg`,`spt_09YuacyyW9Z6QvTbOfAHUk`,`["Y6U"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw"]`
`Tháng Năm`,`true`,,`2020-12-15`,`236`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/1a63878858e4e803fd0d3f2c26717a87/1a63878858e4e803fd0d3f2c26717a87.jpg`,`spt_0SmQ0UWeiHKQtxUej4Rem6`,`["Tháng Năm"]`,`["spt_6CGGvCBHWqQ4HXtn5aLhbh"]`
`Ngọn Đuốc Đêm`,`true`,,`2019-07-27`,`206`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/25c81d3788182ea83664c737c8705532/25c81d3788182ea83664c737c8705532.jpg`,`spt_0w6zuIkd71pgwCT1UiKZKR`,`["Ngọn Đuốc Đêm"]`,`["spt_0gGd4WhPXBSgDX6fdOHcOw"]`
`Mất Dấu`,`true`,,`2023-12-21`,`192`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/84ca032b62d37e2fe1d97b3d9de517b6/84ca032b62d37e2fe1d97b3d9de517b6.jpg`,`spt_14qu7zBvvmpdF3mz9yq8XS`,`["Mất Dấu"]`,`["spt_6S0JgJU2l6ds1EhZUJMQFk"]`
