`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`PhucXp`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb96b54ba7b675722988528307`,,`spt_6fCJf6pkYTHfW1XPc1d4vO`,`["PhucXp"]`
`O.lew`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb28ccce8c6a092aa7f6c1a698`,,`spt_4APrfmUo8KRrjCVuyoKvwY`,`["O.lew"]`
`Kewtiie`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb0accc319a3cd4eff28b242a4`,,`spt_0wATZebE9ZNj7fTjTdwiJB`,`["Kewtiie"]`
`PC`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb70bb4d5e160a5bfa5f848f1a`,,`spt_3HD3V1nGFPwepBO7064Ij0`,`["PC"]`
`Ronboogz`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb52e4f3bc88ce00be25c5f747`,,`spt_0dBcEvEklr1jx4uZuhFX5e`,`["Ronboogz"]`
`Kai Đinh`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb2745dabc439f240f5e4e4a62`,,`spt_3E6LGptA8lBEXPHAQCE3vr`,`["Kai Đinh"]`
`Tùng TeA`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb13f97c503ae98961f29a05d1`,,`spt_2SWNzbf1maA3oR4x56Uv9W`,`["Tùng TeA"]`
`kis`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebdefdfdb67e3fad3647632e6e`,,`spt_6mshB4wc19nPYxpdbtWkz9`,`["kis"]`
`D Blue`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb5b361dcfb4ea82891c46365e`,,`spt_7JRDlOAUMJuLKmapm6H2VG`,`["D Blue"]`
`Đỗ Hoàng Dương`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5ebcfbda65e78ab7b1101094369`,,`spt_2DTVCDYfT6Uo8NugnHNRsg`,`["Đỗ Hoàng Dương"]`
`Pham Dinh Thai Ngan`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb3562f17b61ecb859bcd63e6b`,,`spt_6Ca5ccx9CM1kd0LBz1T83U`,`["Pham Dinh Thai Ngan"]`
`MiiNa`,`true`,`true`,,,`VN`,`https://i.scdn.co/image/ab6761610000e5eb48ee822a8a983523d4020c80`,,`spt_76nos2JmvLyYGZ28ribrf7`,`["MiiNa"]`
